temp,baseVis,nanoVis,Ypredicted
57.21627082,0.486725,1.846645,1.8437927
54.15447713,0.510836,1.890835,1.9492261
51.2870679,0.535257,1.935025,2.044748
48.46809571,0.561198,2.008674,2.1427846
46.66980095,0.578855,2.052864,2.2120786
42.8784293,0.619191,2.214894,2.3567579
39.18401127,0.663119,2.421113,2.4989388
36.9964704,0.691568,2.553682,2.6326885
33.49611867,0.741439,2.818822,2.9528058
30.09264103,0.795792,3.142881,3.3676126
27.02933618,0.850442,3.466939,3.7438905
25.13281523,0.887413,3.702619,3.962732
23.09018781,0.93021,3.997218,4.2106376
22.50647771,0.943047,4.100327,4.2783723
22.02003938,0.95397,4.188707,4.329239
