temperature,vis,Ypredicted By deep learning,base vis
22.71203,1.550429,1.542895,0.938513
23.2002,1.550429,1.5216595,0.927832
27.214,1.380617,1.3855598,0.846992
30.57692,1.257118,1.2821343,0.787668
34.04832,1.172213,1.1711223,0.73319
36.21795,1.087307,1.107496,0.702187
39.41815,1.025557,1.0147017,0.660178
42.23866,0.963808,0.9399321,0.626455
45.22189,0.902058,0.8751014,0.59374
47.2288,0.878902,0.84934354,0.573275
50.26627,0.83259,0.81579673,0.544422
53.24951,0.786278,0.7823741,0.518344
55.25641,0.763122,0.7614898,0.501939
57.20907,0.747684,0.7416064,0.486779
59.27022,0.71681,0.72146034,0.47159
61.22288,0.701372,0.7025777,0.457916
63.77219,0.670497,0.6780349,0.441033
66.3215,0.65506,0.6524144,0.425158
